item,itemLabel,position,positionLabel,start,psid
Q107143876,Ursell Arends,Q109684495,"Minister for Integrity, Nature, Transport and Care for the Elderly",2021-08-09,Q107143876-8A9B7488-98CC-4F6F-8CE0-420A019BA8A5
Q107958842,Rocco Tjon,Q109684524,Minister of Justice and Social Affairs,2021-08-09,Q107958842-833B96C0-FDBB-4F3B-BE23-20724524077D
Q109684418,Geoffrey B. Wever,Q109684416,"Minister of Economic Affairs, Communications, and Sustainable Development",2021-08-09,Q109684418-BFFC0C9B-C248-45E1-958F-F275025F582D
Q109684582,Glenbert Croes,Q109684575,"Minister for Labour, Integration and Energy",2021-08-09,Q109684582-F8931766-72AC-4753-BFE0-2A6FFAA1FF4A
Q109684647,Endy Croes,Q109684619,Minister of Education and Sport,2021-09-20,Q109684647-D18FEF61-09C4-49DA-A70A-044A3E176820
Q109684946,Grace Mary Koolman,Q109684943,Secretary of the Cabinet of Aruba,2021-08-09,Q109684946-31EE091F-ECD0-4B85-8A8A-596A7B603955
Q23038687,Xiomara Ruiz-Maduro,Q109684405,Minister of Finance and Culture,2021-08-09,Q23038687-E373B30E-4819-4ACE-9802-0A4E4D53C9C0
Q23038705,Evelyn Wever-Croes,Q109684262,"Minister of General Affairs, Innovation, Government Organization, Infrastructure and Spatial Planning",2021-08-09,Q23038705-67C439C2-11B3-45FB-B212-D3101CB226FA
Q23038705,Evelyn Wever-Croes,Q1288478,Prime Minister of Aruba,2017-11-17,Q23038705-25ca245d-41c3-ff73-7f0b-534d5eafc7cb
Q47463588,Guillfred Besaril,Q1956567,Minister Plenipotentiary of Aruba,2017-11-20,Q47463588-BA362F09-1B12-4B1E-804B-12125EEF1A1D
Q60733815,Dangui Oduber,Q109684699,Minister for Health and Tourism,2021-08-09,Q60733815-A5B8DFB2-725C-496E-9790-AA9ABF522BC4
