position,title
Q301451,Governor
Q1288478,Prime Minister
Q109684416,"Minister of Economic Affairs, Communications, and Sustainable Development"
Q109684619,Minister of Education and Sport
Q109684405,Minister of Finance and Culture
Q109684262,"Minister of General Affairs, Innovation, Government Organization, Infrastructure and Spatial Planning"
Q109684524,Minister of Justice and Social Affairs
Q109684699,Minister for Health and Tourism
Q109684495,"Minister for Integrity, Nature, Transport and Care for the Elderly"
Q109684575,"Minister for Labour, Integration and Energy"
Q1956567,Minister Plenipotentiary of Aruba
Q109684943,Secretary of the Cabinet of Aruba
Q109684992,Attorney General
Q109684063,President of the Central Bank
